,Images,Name,Biodata
26,"[[[ 53  52  56]
  [ 37  36  40]
  [ 34  33  35]
  ...
  [144 187 206]
  [141 180 208]
  [139 175 205]]

 [[ 67  66  70]
  [ 50  49  53]
  [ 31  30  32]
  ...
  [129 173 196]
  [129 167 197]
  [128 163 197]]

 [[ 66  65  69]
  [ 59  58  62]
  [ 45  44  48]
  ...
  [113 154 186]
  [112 148 186]
  [108 142 185]]

 ...

 [[242 223 232]
  [232 215 224]
  [228 211 222]
  ...
  [ 75  45  18]
  [104  58  34]
  [120  68  45]]

 [[238 221 230]
  [235 218 227]
  [234 219 227]
  ...
  [ 68  38  13]
  [ 91  49  26]
  [109  60  38]]

 [[229 215 226]
  [232 218 229]
  [234 220 231]
  ...
  [ 52  28   6]
  [ 78  43  23]
  [105  63  44]]]",preity zinta,"Preity Zinta shot to fame as the refreshing, cool, wet model in the Liril commercial. She also modeled for Perk and her dimpled smile won the hearts of millions. Preity never thought she would be an actress. Kapoor saw her in the Liril commercial and liked her so much that he instantly decided that...                "
27,"[[[38 37 47]
  [37 36 46]
  [35 37 45]
  ...
  [ 8  7  9]
  [ 8  7  9]
  [ 8  7  9]]

 [[38 37 47]
  [35 37 45]
  [35 37 45]
  ...
  [ 8  7  9]
  [ 8  7  9]
  [ 8  7  9]]

 [[36 38 46]
  [35 38 43]
  [35 38 43]
  ...
  [ 8  7  9]
  [ 8  7  9]
  [ 8  7  9]]

 ...

 [[15 15 15]
  [15 15 15]
  [16 16 16]
  ...
  [20 22 23]
  [20 22 23]
  [20 22 23]]

 [[15 15 15]
  [15 15 15]
  [16 16 16]
  ...
  [20 22 23]
  [20 22 23]
  [20 22 23]]

 [[15 15 15]
  [15 15 15]
  [16 16 16]
  ...
  [20 22 23]
  [21 23 24]
  [22 24 25]]]",arshad warsi,"Arshad Warsi was born in Mumbai, India, and did his schooling at a boarding school, Barnes School, Deolali in Nashik district, Maharashtra. He was orphaned at the age of 14 and struggled for a living in Mumbai during his early days.Financial circumstances forced Warsi to start work as a door-to-door...                "
28,"[[[177 184 163]
  [174 179 158]
  [163 159 140]
  ...
  [129  95  72]
  [129  95  72]
  [129  95  72]]

 [[173 180 159]
  [171 173 153]
  [156 152 133]
  ...
  [129  95  72]
  [129  95  72]
  [129  95  72]]

 [[171 176 155]
  [165 167 147]
  [149 145 126]
  ...
  [129  95  72]
  [129  95  72]
  [129  95  72]]

 ...

 [[124 181 206]
  [120 177 202]
  [113 170 195]
  ...
  [ 11  14  12]
  [ 11  14  12]
  [ 11  14  12]]

 [[118 175 201]
  [118 177 203]
  [115 174 200]
  ...
  [ 11  14  12]
  [ 11  14  12]
  [ 11  14  12]]

 [[121 176 203]
  [117 172 199]
  [112 168 193]
  ...
  [ 12  13  11]
  [ 12  13  11]
  [ 12  13  11]]]",shilpa shetty kundra,"Among very few actresses, Shilpa Shetty was nominated for her first film Baazigar (1993). The following year she delivered another blockbuster hit Main Khiladi Tu Anari (1994) where she starred with Akshay Kumar and Saif Ali Khan. However, the proceeding years her movies failed to succeed at the ...                "
29,"[[[ 45  45  45]
  [ 45  45  45]
  [ 46  46  46]
  ...
  [ 33  32  34]
  [ 34  33  35]
  [ 34  33  35]]

 [[ 46  46  46]
  [ 45  45  45]
  [ 46  46  46]
  ...
  [ 36  35  37]
  [ 36  35  37]
  [ 37  36  38]]

 [[ 46  46  46]
  [ 46  46  46]
  [ 46  46  46]
  ...
  [ 38  37  39]
  [ 38  37  39]
  [ 39  38  40]]

 ...

 [[ 81 144 212]
  [ 84 135 197]
  [ 89 115 169]
  ...
  [ 73 115 190]
  [ 66 105 183]
  [ 60  99 177]]

 [[ 83 142 212]
  [ 85 133 197]
  [ 84 111 162]
  ...
  [ 74 114 189]
  [ 66 104 182]
  [ 60  98 176]]

 [[ 86 138 208]
  [ 80 128 192]
  [ 80 114 173]
  ...
  [ 71 107 185]
  [ 65  98 177]
  [ 59  92 171]]]",kajol,"Kajol was born on August 5, 1974 in Bombay, Maharashtra, India as Kajol Mukherjee. She is an actress, known for Kuch Kuch Hota Hai (1998), My Name Is Khan (2010) and Fanaa (2006). She has been married to Ajay Devgn since February 24, 1999. They have two children.                "
30,"[[[147 163 170]
  [142 158 165]
  [140 153 161]
  ...
  [237 235 227]
  [237 235 227]
  [237 235 227]]

 [[151 167 174]
  [148 164 171]
  [145 158 166]
  ...
  [238 236 228]
  [238 236 228]
  [238 236 228]]

 [[157 173 180]
  [154 170 177]
  [153 166 174]
  ...
  [240 238 230]
  [240 238 230]
  [240 238 230]]

 ...

 [[ 76  77  75]
  [ 73  74  72]
  [ 72  73  71]
  ...
  [ 48  51  49]
  [ 48  51  49]
  [ 48  51  49]]

 [[100  98  97]
  [ 92  93  91]
  [ 90  88  87]
  ...
  [ 41  44  42]
  [ 42  45  43]
  [ 42  45  43]]

 [[ 97  93  92]
  [ 96  94  93]
  [ 98  94  93]
  ...
  [ 35  38  36]
  [ 33  36  34]
  [ 31  34  32]]]",sunny deol,Ajay Singh Deol popularly known as Sunny Deol was born to actor Dharmendra and Prakash Kaur. Sunny began acting with super hit film Betaab (1983) which was a love story also featuring another new comer Amrita Singh; this film was a major success and then he goes on making films which portrayed him ...                
31,"[[[162 161 171]
  [162 161 171]
  [163 162 172]
  ...
  [ 73  70  96]
  [ 69  66  92]
  [ 67  64  90]]

 [[162 161 171]
  [163 162 172]
  [163 162 172]
  ...
  [ 71  68  94]
  [ 70  67  93]
  [ 69  66  92]]

 [[163 162 172]
  [163 162 172]
  [163 162 172]
  ...
  [ 69  66  92]
  [ 71  68  94]
  [ 72  69  95]]

 ...

 [[101 130 191]
  [104 135 198]
  [101 132 201]
  ...
  [117 135 206]
  [114 129 198]
  [104 120 187]]

 [[ 99 128 189]
  [105 133 197]
  [102 131 200]
  ...
  [116 134 205]
  [105 123 194]
  [ 96 116 187]]

 [[100 127 191]
  [105 133 198]
  [ 99 128 197]
  ...
  [103 121 192]
  [ 86 111 183]
  [ 81 111 182]]]",urmila matondkar,"The daughter of a lecturer, actress Urmila Matondkar began her celluloid career as a child artiste with the film _Kalyug (1980)_. Although an average film at the box-office, her next film, Masoom (1983), about a family coping with an illegitimate member, showed her acting talents blossom and she ...                "
32,"[[[148 142 147]
  [148 142 147]
  [149 143 148]
  ...
  [174 163 165]
  [174 163 165]
  [174 163 165]]

 [[148 142 147]
  [148 142 147]
  [149 143 148]
  ...
  [174 163 165]
  [174 163 165]
  [174 163 165]]

 [[149 143 148]
  [149 143 148]
  [149 143 148]
  ...
  [174 163 165]
  [174 163 165]
  [174 163 165]]

 ...

 [[  3  20  53]
  [  0  12  45]
  [ 29  41  75]
  ...
  [126 162 156]
  [133 170 166]
  [ 65 105 100]]

 [[ 12  28  64]
  [ 17  32  65]
  [ 65  76 108]
  ...
  [ 70 104  93]
  [104 134 121]
  [ 82 111  96]]

 [[ 39  51  85]
  [ 71  82 114]
  [ 92  97 128]
  ...
  [ 97 130 126]
  [ 48  73  63]
  [ 55  78  63]]]",saif ali khan,"Saif is the son of Bollywood actress, Sharmila Tagore, and Indian cricketer, Mansoor Ali Khan.Both his grandfather, Iftikhar Ali Khan Pataudi, and father were professional cricketers. His mother, Sharmila Tagore, an actress within her own rights. He has two sisters, Bollywood actress Soha Ali Khan,...                "
33,"[[[138  69  49]
  [138  69  49]
  [137  68  48]
  ...
  [165 166 186]
  [185 185 199]
  [195 196 206]]

 [[138  69  49]
  [137  68  48]
  [137  68  48]
  ...
  [181 181 199]
  [195 195 207]
  [202 204 212]]

 [[137  68  48]
  [136  67  47]
  [136  67  47]
  ...
  [195 197 208]
  [204 205 215]
  [209 209 215]]

 ...

 [[ 65  43  45]
  [ 67  46  45]
  [ 66  46  41]
  ...
  [ 13  13  13]
  [ 12  12  12]
  [ 12  12  12]]

 [[ 57  37  36]
  [ 60  41  38]
  [ 62  42  37]
  ...
  [ 10  10  10]
  [ 10  10  10]
  [  9   9   9]]

 [[ 53  40  32]
  [ 54  41  33]
  [ 55  42  34]
  ...
  [ 10  10  10]
  [ 10  10  10]
  [ 10  10  10]]]",juhi chawla,"Juhi was born in the Chawla family on November 13, 1967 in Ludhiana, Punjab, India, and is the daughter of Punjabi-speaking dad, Dr. S. Chawla and Gujarati-speaking mom, Mona. She has a brother named Sanjeev. Her mother passed away in an accident during the year 1998 while Juhi was filming '...                "
34,"[[[ 3 36 81]
  [ 2 35 80]
  [ 2 35 80]
  ...
  [ 1 30 75]
  [ 0 31 80]
  [ 0 31 79]]

 [[ 3 36 81]
  [ 3 36 81]
  [ 2 35 80]
  ...
  [ 0 29 76]
  [ 0 31 80]
  [ 0 31 79]]

 [[ 2 36 82]
  [ 2 36 82]
  [ 2 36 82]
  ...
  [ 0 29 76]
  [ 0 33 81]
  [ 0 33 81]]

 ...

 [[ 0  3 36]
  [21 36 69]
  [52 62 96]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 0  0 29]
  [ 2 17 49]
  [35 46 78]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 0  1 30]
  [ 0 12 41]
  [ 9 23 52]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]]",tusshar kapoor,Tusshar Kapoor is an Indian actor. He is the son of Bollywood actor Jeetendra and Shobha Kapoor and brother of Ekta Kapoor. He studied at the University of Michigan and graduated with a BBA from the Stephen M. Ross School of Business.Tushar made his debut with Mujhe Kucch Kehna Hai alongside Kareena...                
35,"[[[250 213 191]
  [241 199 176]
  [222 170 147]
  ...
  [239 222 213]
  [238 221 212]
  [237 220 211]]

 [[250 213 191]
  [236 194 171]
  [216 164 141]
  ...
  [238 221 212]
  [237 220 211]
  [237 220 211]]

 [[249 212 190]
  [227 185 162]
  [205 153 130]
  ...
  [237 220 211]
  [236 219 210]
  [236 219 210]]

 ...

 [[156 180 186]
  [158 179 187]
  [168 186 197]
  ...
  [219 198 190]
  [216 197 189]
  [216 197 189]]

 [[159 180 188]
  [159 179 190]
  [168 186 197]
  ...
  [218 197 189]
  [216 197 189]
  [215 196 188]]

 [[157 171 183]
  [161 175 187]
  [164 178 190]
  ...
  [217 196 188]
  [215 196 188]
  [215 196 189]]]",lara dutta,"It is not a secret that Lara Dutta is a beauty with brains. This was demonstrated when she scored the highest possible marks in the history of the Miss Universe Contest. After this she was crowned Miss Universe 2000, making history as not only the most beautiful but also the most intelligent young ...                "
36,"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 7  8  6]
  [11 12 10]
  [14 15 13]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [10 11  9]
  [15 16 14]
  [18 19 17]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [16 17 15]
  [20 21 19]
  [23 24 22]]]",anil kapoor,"Living in a Chawl in Tilak Nagar, Punjabi-speaking Anil was born in 1959 to Surinder and Nirmal aka Suchitra Kapoor. He has an elder brother, Boney, a sister, Reena, and a younger brother, Sanjay. His dad used to be Shammi Kapoor's Secretary.A loner, without many friends, he studied in the nearby ...                "
37,"[[[138 117  96]
  [138 117  96]
  [138 117  96]
  ...
  [136 139 113]
  [135 138 112]
  [134 137 111]]

 [[139 118  97]
  [139 118  97]
  [139 118  97]
  ...
  [137 140 114]
  [136 139 113]
  [135 138 112]]

 [[140 119  98]
  [140 119  98]
  [140 119  98]
  ...
  [139 142 116]
  [137 140 114]
  [136 139 113]]

 ...

 [[ 17  21  10]
  [ 17  23  12]
  [ 39  45  34]
  ...
  [ 75  49  37]
  [ 15   6   0]
  [  2   3   0]]

 [[ 40  41  31]
  [ 15  19   8]
  [ 30  34  23]
  ...
  [ 90  61  47]
  [ 24  12   2]
  [  5   2   0]]

 [[ 81  80  70]
  [ 16  15   5]
  [ 17  16   6]
  ...
  [128 101  81]
  [ 35  19  12]
  [ 11   2   0]]]",jacqueline fernandez,"Jacqueline's father Elroy Fernansez is a Sri Lankan and mother Kim is a Malaysian. She has two brothers and an older sister. Her parents moved to Bahrain when she was very young.After her schooling in Bahrain, she was awarded a Scholarship to study at the University of Sydney, where she pursued a ...                "
38,"[[[58 43 41]
  [58 43 41]
  [59 44 42]
  ...
  [58 43 41]
  [57 42 40]
  [57 42 40]]

 [[59 44 42]
  [59 44 42]
  [59 44 42]
  ...
  [58 43 41]
  [58 43 41]
  [57 42 40]]

 [[60 45 43]
  [60 45 43]
  [60 45 43]
  ...
  [59 44 42]
  [59 44 42]
  [58 43 41]]

 ...

 [[52 43 40]
  [52 43 40]
  [52 43 40]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[52 43 40]
  [52 43 40]
  [52 43 40]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[51 39 39]
  [51 39 39]
  [51 39 39]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]]",ranveer singh,"Ranveer Singh is an Indian actor working in Bollywood. Born in Mumbai, India, Ranveer Singh had always wanted to be an actor since his childhood. However, during his college days he felt that the idea of acting was far-fetched and focused on creative writing. While pursuing his Bachelor of Arts ...                "
39,"[[[ 88  93 102]
  [ 91  96 105]
  [ 90  96 107]
  ...
  [ 42  33  76]
  [ 41  32  75]
  [ 41  32  75]]

 [[ 79  87 100]
  [ 83  89 102]
  [ 85  91 104]
  ...
  [ 42  33  76]
  [ 41  32  75]
  [ 41  32  75]]

 [[ 70  82 100]
  [ 75  85 103]
  [ 83  87 106]
  ...
  [ 43  34  77]
  [ 42  33  76]
  [ 41  32  75]]

 ...

 [[ 95  91  86]
  [ 51  45  40]
  [ 24  15  11]
  ...
  [124 119 120]
  [106 101 102]
  [106 101 102]]

 [[ 84  79  76]
  [ 18  14   9]
  [ 14   7   4]
  ...
  [120 118 118]
  [107 102 103]
  [109 107 107]]

 [[ 29  25  24]
  [ 21  16  13]
  [ 42  34  34]
  ...
  [116 116 116]
  [113 111 111]
  [119 119 119]]]",madhavan,"Madhavan was born on June 1, 1970, in a Tamil-speaking family.At the age of 18 his college entrusted him with the responsibility of representing India as a Cultural Ambassador to Canada.A year later he and three others from his college were sent to Britain as army cadets and received training in ...                "
40,"[[[180 157 112]
  [181 158 113]
  [182 159 114]
  ...
  [203 188 156]
  [203 188 155]
  [203 188 155]]

 [[175 152 107]
  [176 153 108]
  [177 154 109]
  ...
  [203 188 155]
  [203 188 155]
  [203 189 153]]

 [[169 145  99]
  [170 146 100]
  [172 148 102]
  ...
  [203 188 155]
  [205 189 153]
  [205 189 152]]

 ...

 [[ 17  13  12]
  [ 17  13  12]
  [ 16  12  11]
  ...
  [ 13   9   8]
  [ 12   8   7]
  [ 12   8   7]]

 [[ 19  15  14]
  [ 17  13  12]
  [ 15  11  10]
  ...
  [ 12   8   7]
  [ 11   7   6]
  [ 11   7   6]]

 [[ 13  11  11]
  [ 13  11  11]
  [ 13  11  11]
  ...
  [ 10   8   7]
  [ 10   8   7]
  [ 10   8   7]]]",minissha lamba,"Minisha Lamba was born in the New Delhi-based Punjabi speaking Sikh family consisting of her dad Kewal, mom Manju, and brother Karan. She had not really decided to act in films, her goal was to become a Journalist, but she loved modeling and was fortunate enough to be selected to model for Cadbury....                "
41,"[[[15 13 13]
  [15 13 13]
  [15 13 13]
  ...
  [20 18 18]
  [20 18 18]
  [20 18 18]]

 [[15 13 13]
  [15 13 13]
  [15 13 13]
  ...
  [20 18 18]
  [20 18 18]
  [20 18 18]]

 [[15 13 13]
  [15 13 13]
  [15 13 13]
  ...
  [20 18 18]
  [20 18 18]
  [20 18 18]]

 ...

 [[62 64 94]
  [51 53 83]
  [37 38 66]
  ...
  [34 41 61]
  [46 52 75]
  [55 61 84]]

 [[60 62 92]
  [48 51 79]
  [34 35 61]
  ...
  [30 36 55]
  [42 47 68]
  [50 57 77]]

 [[54 58 86]
  [43 48 73]
  [29 34 55]
  ...
  [30 32 50]
  [40 44 63]
  [47 53 72]]]",shreyas talpade,"Shreyas Talpade was born on January 27, 1976 in Bombay, Maharashtra, India. He is an actor and director, known for Om Shanti Om (2007), Iqbal (2005) and Dor (2006).                "
42,"[[[218  93  18]
  [218  93  18]
  [218  93  18]
  ...
  [221  93  16]
  [221  93  16]
  [221  93  16]]

 [[218  93  18]
  [218  93  18]
  [218  93  18]
  ...
  [221  93  16]
  [221  93  16]
  [221  93  16]]

 [[218  93  18]
  [218  93  18]
  [218  93  18]
  ...
  [221  93  16]
  [221  93  16]
  [221  93  16]]

 ...

 [[ 12  15  29]
  [ 12  19  34]
  [ 17  25  48]
  ...
  [ 29  31  12]
  [ 29  31  11]
  [ 27  32  11]]

 [[ 12  15  29]
  [ 14  19  34]
  [ 17  26  46]
  ...
  [ 29  31  12]
  [ 29  31  12]
  [ 29  31  11]]

 [[ 12  16  27]
  [ 15  20  35]
  [ 13  22  42]
  ...
  [ 31  27   9]
  [ 33  26   9]
  [ 34  26   9]]]",shahid kapoor,"Shahid's rise to stardom reads like a bollywood script: from a struggler to a winner. With his hard work, perseverance and sincerity, he has written his own destiny.Shahid is a mine of unabashed talent and spark, beneath his calm and innocent veneer. Shahid Kapoor is young and vibrant, with a ...                "
43,"[[[139 141 151]
  [139 141 151]
  [140 142 152]
  ...
  [212 215 219]
  [212 215 219]
  [212 215 219]]

 [[139 141 151]
  [139 141 151]
  [140 142 152]
  ...
  [213 216 220]
  [213 216 220]
  [213 216 220]]

 [[140 142 152]
  [140 142 152]
  [140 142 152]
  ...
  [213 216 220]
  [213 216 220]
  [213 216 220]]

 ...

 [[225 226 230]
  [225 226 230]
  [225 226 230]
  ...
  [254 255 253]
  [255 255 251]
  [255 255 250]]

 [[225 225 231]
  [225 226 230]
  [225 225 231]
  ...
  [254 255 253]
  [255 255 251]
  [255 255 250]]

 [[224 223 232]
  [224 224 230]
  [224 223 232]
  ...
  [252 254 254]
  [254 255 253]
  [255 255 251]]]",sonam kapoor,"Sonam Kapoor comes from an established film family. She is the daughter of actor and producer Anil Kapoor and the grandchild of filmmaker Surinder Kapoor. Sonam is Bollywood royalty with immense support in the Indian film fraternity.Unlike most star children, Sonam started life with a structured ...                "
44,"[[[175 188 196]
  [177 190 198]
  [179 192 200]
  ...
  [226 228 228]
  [226 228 228]
  [226 228 228]]

 [[176 189 197]
  [177 190 198]
  [180 193 201]
  ...
  [245 247 247]
  [245 247 247]
  [245 247 247]]

 [[177 190 198]
  [178 191 199]
  [181 194 202]
  ...
  [250 252 252]
  [250 252 252]
  [250 252 252]]

 ...

 [[  8   5   7]
  [  2   0   1]
  [  0   0   3]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[ 31  26  23]
  [ 18  15  11]
  [ 16  12  11]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[ 92  89  84]
  [ 92  89  84]
  [ 91  88  84]
  ...
  [233 233 233]
  [233 233 233]
  [233 233 233]]]",genelia d souza,"Genelia D'Souza is an Indian actress, model, and host. She has appeared in Telugu, Hindi, Tamil, Kannada, and Malayalam language films. After gaining wide attention in a Parker Pen commercial with Amitabh Bachchan, D'Souza began her acting career with Tujhe Meri Kasam in 2003. She was recognized ...                "
45,"[[[143 142 210]
  [146 144 210]
  [149 145 211]
  ...
  [ 99  98 201]
  [ 99  98 201]
  [ 98  97 200]]

 [[143 142 210]
  [145 142 211]
  [148 144 210]
  ...
  [ 99  98 201]
  [ 99  98 201]
  [ 98  97 200]]

 [[142 140 210]
  [144 141 210]
  [147 143 209]
  ...
  [ 99  98 201]
  [ 99  98 201]
  [ 98  97 200]]

 ...

 [[  6   0  11]
  [  6   1  10]
  [  5   1   6]
  ...
  [  3   3  17]
  [ 12   0  12]
  [ 14   0   7]]

 [[  3   0  10]
  [  3   0   9]
  [  5   1   6]
  ...
  [  3   3  17]
  [ 10   1  11]
  [ 12   0   7]]

 [[  2   1  10]
  [  1   1   7]
  [  3   2   4]
  ...
  [  1   1  17]
  [  3   0   9]
  [  4   0   3]]]",irrfan khan,"Born Sahabzade Irfan Ali Khan, in Jaipur, Rajasthan (NW India) January 7, 1967 to a Pashto speaking Muslim family. Khan's mother, Begum Khan, was from the Tonk Hakim family and his father, Jagirdar Khan, from the Khajuriya village near the Tonk district, ran a tire business.The Khan family name ...                "
46,"[[[243 190 230]
  [242 189 229]
  [241 188 228]
  ...
  [252 243 253]
  [252 244 251]
  [252 244 251]]

 [[243 190 230]
  [242 189 229]
  [241 188 228]
  ...
  [252 243 253]
  [252 244 251]
  [252 244 251]]

 [[243 190 230]
  [242 189 229]
  [241 188 228]
  ...
  [252 243 253]
  [252 244 251]
  [252 244 251]]

 ...

 [[107 141 225]
  [106 142 226]
  [104 143 228]
  ...
  [ 12  12  36]
  [ 30  28  50]
  [ 40  39  59]]

 [[106 142 226]
  [105 142 226]
  [105 145 228]
  ...
  [  0   0  22]
  [  2   0  20]
  [  3   1  20]]

 [[102 142 224]
  [105 145 227]
  [106 149 230]
  ...
  [  6   0  25]
  [  7   1  20]
  [ 10   2  19]]]",sonakshi sinha,She is the daughter of legendary Indian actor Shatrughan Sinha and Poonam Sinha and sister to Luv Sinha and Kussh Sinha. She started her career as a model and walked the ramp in the Lakme Fashion week in 2008. She got her break in movies after being signed up by Salman Khan for his thriller Dabangg...                
47,"[[[255 226 211]
  [255 229 214]
  [255 229 214]
  ...
  [ 87  49 169]
  [ 64  24 159]
  [ 51  13 155]]

 [[246 213 198]
  [252 219 204]
  [255 222 207]
  ...
  [107  70 174]
  [ 90  53 169]
  [ 84  47 169]]

 [[229 196 181]
  [238 205 190]
  [245 212 197]
  ...
  [140 107 181]
  [132  98 175]
  [131  99 178]]

 ...

 [[ 71 118 174]
  [ 74 121 177]
  [ 78 124 182]
  ...
  [ 45  80 136]
  [ 42  76 130]
  [ 42  73 128]]

 [[ 86 129 178]
  [ 86 131 182]
  [ 90 133 184]
  ...
  [ 46  80 134]
  [ 43  74 129]
  [ 42  72 127]]

 [[ 88 130 177]
  [ 89 133 180]
  [ 95 137 184]
  ...
  [ 46  76 131]
  [ 43  70 126]
  [ 41  69 123]]]",parineeti chopra,"Parineeti Chopra is an Indian actress and singer who appears in Hindi films, was born on in Ambala, Haryana into a Punjabi family. Her father, Pawan Chopra, is a businessman and supplier to the Indian Army at Ambala Cantonment and her mother is Reena Chopra. Chopra studied at the Convent of Jesus ...                "
48,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 254 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 254 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 254 255]
  [254 254 254]
  [255 255 255]]

 ...

 [[255 254 255]
  [255 254 255]
  [255 253 255]
  ...
  [255 252 255]
  [255 254 254]
  [255 255 251]]

 [[255 254 255]
  [255 254 255]
  [255 254 255]
  ...
  [255 251 255]
  [255 253 255]
  [255 254 254]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 254 255]
  [255 254 255]
  [255 254 255]]]",vidya balan,"Vidya was born in Palghat, Kerala, India. Her family consists of her dad, P.R. Balan, who is the Vice-President of ETC Channel; mom - a home-maker, and an elder sister, Priya, who is married to Kedar. She also has an aunt by the name of Raji Raju.The Balan family re-located to live at Road No. 11, ...                "
49,"[[[233 228 227]
  [230 227 223]
  [229 229 223]
  ...
  [  5   7   8]
  [  6   8   9]
  [  6   8   9]]

 [[233 228 227]
  [231 228 224]
  [230 230 224]
  ...
  [  5   7   8]
  [  6   8   9]
  [  6   8   9]]

 [[232 227 226]
  [232 229 225]
  [229 229 223]
  ...
  [  5   7   8]
  [  6   8   9]
  [  6   8   9]]

 ...

 [[ 75  90 129]
  [108 123 162]
  [105 123 160]
  ...
  [144 170 216]
  [169 194 238]
  [171 196 238]]

 [[ 75  90 129]
  [102 118 155]
  [116 134 171]
  ...
  [174 201 245]
  [178 203 245]
  [167 193 233]]

 [[ 69  87 124]
  [ 98 116 153]
  [127 146 181]
  ...
  [185 208 246]
  [181 207 244]
  [179 205 242]]]",bobby deol,"Bobby Deol (Vijay Singh Deol) is the second son of Bollywood mega-star Dharmendra. His older brother is another Bollywood mega-star, Sunny Deol. Deol began his career as a child artiste in the movie Dharam Veer (1977), playing a young Dharmendra.He has two step-sisters, namely Bollywood actress ...                "
50,"[[[168 189 240]
  [168 189 240]
  [168 189 240]
  ...
  [127 136 173]
  [127 136 173]
  [127 136 173]]

 [[168 189 240]
  [168 189 240]
  [168 189 240]
  ...
  [127 136 173]
  [127 136 173]
  [127 136 173]]

 [[168 189 240]
  [168 189 240]
  [168 189 240]
  ...
  [127 136 173]
  [127 136 173]
  [127 136 173]]

 ...

 [[ 86 109 155]
  [ 84 107 153]
  [ 83 106 152]
  ...
  [157 186 223]
  [150 180 215]
  [144 174 209]]

 [[ 86 109 155]
  [ 83 106 152]
  [ 80 103 149]
  ...
  [161 190 227]
  [153 183 218]
  [147 177 212]]

 [[ 81 103 151]
  [ 83 105 153]
  [ 85 107 155]
  ...
  [166 195 232]
  [159 189 224]
  [148 180 215]]]",dharmendra,Dharmendra is one of the biggest stars of Indian cinema. Dharmendra Deol played the romantic hero in woman centric films from 1960-1968 and became romantic hero from 1968-69 and played the role of action hero from 1971-1997. Dharmendra has appeared in 306 films.He is known as 'Garam' Dharam in ...                
51,"[[[15 14 16]
  [15 14 16]
  [14 13 15]
  ...
  [11 12 10]
  [11 12 10]
  [11 12 10]]

 [[15 14 16]
  [15 14 16]
  [14 13 15]
  ...
  [11 12 10]
  [11 12 10]
  [11 12 10]]

 [[15 14 16]
  [15 14 16]
  [14 13 15]
  ...
  [11 12 10]
  [11 12 10]
  [11 12 10]]

 ...

 [[12 10  9]
  [12 10  9]
  [12 10  9]
  ...
  [18 78 90]
  [21 81 93]
  [20 80 92]]

 [[12 10  9]
  [12 10  9]
  [12 10  9]
  ...
  [22 81 91]
  [20 78 90]
  [10 69 79]]

 [[12 10  9]
  [12 10  9]
  [12 10  9]
  ...
  [10 67 76]
  [ 2 56 67]
  [ 0 48 58]]]",zareen khan,"Khan was born to a Muslim Pathan family in Mumbai. Khan was forced to abandon her education while in college and begin working due to the financial troubles of her family. With no marketable skills to rely on, she tried her hand at modeling. Khan did quite a few small assignments that fetched her ...                "
